"35.998511652,-82.482147888"
"36.011288414,-82.449661273"
"35.991373106,-82.487850071"
"40.576938255,-76.0259662"
"40.609866245,-75.916251551"
"40.597653565,-75.934459943"
"40.572080002,-76.032462588"
"40.559484271,-76.063474994"
"40.550133401,-76.084766983"
"40.550452467,-76.102677228"
"40.630249028,-75.95841735"
"40.558840233,-76.115180218"
"40.589460343,-75.940298214"
"40.561339371,-76.056777124"
"40.571346845,-76.033212367"
"40.576828965,-76.02655642"
"40.57734216,-76.026168905"
"40.594936512,-75.931482831"
"40.626327514,-75.958486418"
"34.740788318,-83.944139676"
"35.211049377,-83.566249603"
"35.180216542,-83.56069121"
"35.026265563,-83.574540221"
"34.994330052,-83.599328013"
"36.105467255,-82.448343255"
"36.076993844,-82.454586062"
"35.56320397,-83.497681379"
"35.608955056,-83.447337932"
"35.449115905,-83.796441128"
"35.901867878,-82.790395125"
"35.901750583,-82.790304538"
"35.904576265,-82.790147088"
"35.895543834,-82.788209426"
"35.8891817,-82.831305055"
"35.853557233,-82.875394836"
"35.875227176,-82.8620104"
"35.895619718,-82.788545765"
"35.892609197,-82.821479891"
"45.706810216,-69.00847003"
"41.263608516,-74.150612714"
"41.313153024,-73.994290289"
"41.297000875,-74.017307475"
"38.074609872,-78.79272989"
"39.143748974,-77.831696224"
"40.446919801,-76.76298233"
"45.142965614,-70.166097188"
"45.615097929,-69.163199306"
"45.88265058,-69.024515748"
"42.575818495,-73.164259178"
"34.65596618,-84.060716026"
"34.797517684,-83.692739784"
"34.650399471,-84.198091116"
"34.814563227,-83.805979738"
"34.934746528,-83.602091466"
"36.261732271,-82.125703826"
"37.358724512,-80.142465724"
"37.82347314,-79.091015885"
"37.828875016,-79.122080779"
"37.323386933,-80.752065528"
"37.683322481,-79.271985124"
"37.667304789,-79.278086325"
"37.346086781,-80.746481107"
"37.374864703,-80.760496016"
"40.735613854,-75.757861637"
"40.736497342,-75.754779561"
"40.769048637,-75.697044155"
"40.707337729,-75.807399238"
"40.734897895,-75.758404399"
"40.709989632,-75.804684653"
"40.718144276,-75.791451368"
"40.754349009,-75.727077644"
"40.767247203,-75.698010604"
"40.707761373,-75.80731822"
"40.722230501,-75.783915751"
"40.730714804,-75.767121694"
"40.744386452,-75.738318599"
"40.755803855,-75.724342206"
"40.031203048,-77.288073694"
"40.031632711,-77.290098985"
"40.031354618,-77.30477181"
"40.054459684,-77.225648725"
"40.031232219,-77.311809984"
"40.03033122,-77.251376084"
"40.0290584,-77.265007625"
"40.065760742,-77.209458943"
"40.031644594,-77.307538775"
"40.411317266,-76.930607179"
"40.388171696,-77.016416079"
"40.394810582,-76.990401608"
"40.403032891,-76.960960273"
"40.401169719,-76.968910828"
"40.386174974,-77.015057198"
"40.395732287,-77.008230599"
"40.409198461,-76.938806224"
"40.392100975,-77.013511618"
"40.387397476,-77.017392453"
"40.396907785,-76.982593157"
"40.391127958,-77.000916409"
"34.725297871,-83.839107372"
"34.735324658,-83.918116166"
"34.726016921,-83.845616977"
"34.8014509,-83.742857927"
"34.776587308,-83.826278056"
"34.726047258,-83.839852732"
"34.819517842,-83.777719056"
"34.814563227,-83.805979738"
"34.726445224,-83.839364943"
"34.7261121,-83.839833229"
"36.032717716,-82.420573796"
"36.044654776,-82.427700942"
"36.067515228,-82.433864923"
"36.05653566,-82.434069974"
"36.105399016,-82.446850968"
"36.091423097,-82.454235105"
"36.071029884,-82.447799874"
"36.08343672,-82.459605643"
"36.053376822,-82.434856767"
"36.035000582,-82.419058291"
"36.032093094,-82.420203081"
"36.044925044,-82.427867237"
"36.040193173,-82.419264945"
"36.033337379,-82.420769856"
"36.115784986,-82.354029985"
"36.09946535,-82.431334559"
"36.116308799,-82.348990366"
"36.104618801,-82.407971345"
"40.223003383,-77.102341263"
"40.078059796,-77.195861237"
"40.078994596,-77.194847327"
"40.130938047,-77.11257593"
"40.130938047,-77.11257593"
"40.141639786,-77.1162895"
"40.127388363,-77.110191526"
"40.124154847,-77.104597617"
"40.136218414,-77.11395931"
"40.132052897,-77.112570147"
"40.14145387,-77.116137502"
"40.135952287,-77.115029304"
"40.135952287,-77.115029304"
"40.115293059,-77.103012629"
"40.098699527,-77.124210861"
"40.094874719,-77.13518331"
"40.092848549,-77.142289017"
"40.092206388,-77.146396469"
"40.091616529,-77.147999473"
"40.091090441,-77.150659612"
"40.092474385,-77.158904097"
"40.092300218,-77.169496883"
"40.079869732,-77.186386159"
"40.07927542,-77.193392191"
"40.071686985,-77.204307853"
"40.07927542,-77.193392191"
"40.325314068,-77.076696947"
"40.332804884,-77.082494619"
"40.244383298,-77.101138862"
"40.238907264,-77.104189605"
"40.240286422,-77.100110203"
"40.245267863,-77.101069746"
"40.248708596,-77.102146907"
"40.238888833,-77.104220136"
"40.249026411,-77.102321997"
"35.571972283,-83.592021059"
"35.575136967,-83.61373959"
"35.568718371,-83.699239573"
"35.564940976,-83.528471604"
"35.564122646,-83.730546591"
"35.910142777,-82.79099923"
"35.909541708,-82.790924924"
"35.893649198,-82.823853611"
"35.803403812,-82.948292208"
"35.83824868,-82.926839083"
"35.838919004,-82.92366905"
"35.849946649,-82.900463954"
"35.893532309,-82.822054797"
"35.851968392,-82.898401514"
"35.85060894,-82.885903795"
"35.805225602,-82.952734204"
"35.792263102,-82.96171069"
"35.813197924,-82.943341732"
"35.837016854,-82.920104441"
"35.850275773,-82.899840114"
"35.842788813,-82.905344755"
"35.891922698,-82.82911828"
"35.893398454,-82.822064839"
"35.784713976,-83.113354092"
"35.789402614,-83.075326573"
"35.776660613,-83.004662153"
"35.789409262,-82.963579048"
"35.78188617,-83.102726558"
"35.785332696,-83.112385598"
"35.779986596,-83.112301311"
"35.787191143,-83.047780173"
"35.783579583,-83.028086237"
"35.776480199,-83.004699983"
"35.772324732,-82.998729636"
"35.782088267,-83.101643498"
"35.783305945,-83.109225857"
"35.770510393,-83.110840787"
"35.217084445,-83.56485141"
"35.184326357,-83.561115622"
"35.202104008,-83.567187091"
"35.220470351,-83.562115029"
"34.958671215,-83.596315924"
"34.990984104,-83.598876159"
"35.043225171,-83.547931898"
"35.038699453,-83.542740506"
"35.012553919,-83.52134737"
"35.027402961,-83.478469427"
"35.039584245,-83.552602642"
"35.03938829,-83.547634466"
"35.03699833,-83.54139665"
"40.861343342,-75.294568135"
"40.936027598,-75.197977936"
"36.985014993,-81.406438909"
"36.994603604,-81.406477307"
"41.029009047,-75.007645566"
"41.024068659,-75.01494249"
"41.021249318,-75.020893681"
"41.017646898,-75.03501802"
"41.016142711,-75.039722136"
"41.001092944,-75.079257865"
"41.052116404,-74.967303771"
"41.057922685,-74.964435485"
"41.047500133,-74.972429558"
"41.016142711,-75.039722136"
"41.005003357,-75.067878972"
"40.997951526,-75.090621894"
"40.999402312,-75.089988085"
"41.031964761,-74.999922622"
"41.042902807,-74.979023393"
"41.041383837,-74.981766564"
"41.037964414,-74.987842819"
"41.034520826,-74.993764998"
"41.031827705,-74.99857705"
"41.031964761,-74.999922622"
"41.046810461,-74.973359235"
"40.974908578,-75.134740394"
"40.98132025,-75.141907597"
"40.95230475,-75.142849709"
"40.959765238,-75.128695677"
"40.953966392,-75.138644481"
"40.95230475,-75.142849709"
"40.949100669,-75.157060664"
"40.95980198,-75.128685498"
"40.981894637,-75.137545702"
"40.974725468,-75.13470299"
"40.981800945,-75.137504542"
"40.935999654,-75.188196438"
"40.936074519,-75.187851444"
"40.93717651,-75.184269864"
"40.936990861,-75.184850808"
"40.945428012,-75.176373337"
"40.943895332,-75.176843737"
"40.947281209,-75.173531404"
"40.975741869,-75.13945081"
"40.975969838,-75.139739903"
"40.948410494,-75.163250953"
"40.947291972,-75.170309326"
"40.947281209,-75.173531404"
"40.940572216,-75.180975013"
"40.93717651,-75.184269864"
"40.935568681,-75.194535023"
"40.935467016,-75.197008888"
"40.965848016,-75.133547906"
"40.948238044,-75.158731657"
"40.972003016,-75.126157483"
"40.982298618,-75.137759451"
"40.274442249,-77.099181213"
"40.276714261,-77.099658414"
"40.258384606,-77.102004853"
"40.259880922,-77.103343089"
"40.297498203,-77.089403172"
"40.311838059,-77.079967585"
"40.273414338,-77.099822935"
"40.25239721,-77.103821504"
"40.253401509,-77.103884133"
"40.254017669,-77.103972092"
"40.255142676,-77.102339998"
"40.293621659,-77.087941377"
"40.27694196,-77.099533367"
"40.24926284,-77.10313557"
"40.259880922,-77.103343089"
"40.255142676,-77.102339998"
"40.276568473,-77.099770521"
"40.276845968,-77.099569296"
"40.260392561,-77.103582242"
"40.295798297,-77.088506446"
"40.259922969,-77.103544004"
"40.392730396,-77.030290043"
"40.396598688,-77.008778524"
"40.413337163,-76.923228936"
"40.429870766,-76.864085729"
"40.444653613,-76.821162745"
"40.422677518,-76.890576871"
"40.421853649,-76.894311778"
"40.450011481,-76.807055346"
"40.411908087,-76.929642499"
"40.411786171,-76.926949586"
"40.421613102,-76.894840521"
"40.430565584,-76.863420142"
"40.429058837,-76.868252085"
"40.454304818,-76.782628756"
"34.659374823,-84.189955505"
"34.662634966,-84.184419212"
"34.65104109,-84.198365705"
"34.647692627,-84.198331106"
"34.665797096,-84.181145818"
"34.66573262,-84.181238168"
"34.666572929,-84.179224476"
"34.626693162,-84.193828418"
"34.666618655,-84.171859973"
"34.628556455,-84.194474229"
"34.65596618,-84.060716026"
"34.66361346,-84.129577839"
"34.653319331,-84.083439273"
"34.901022839,-83.628386217"
"34.839106755,-83.659328973"
"34.799279175,-83.690829597"
"34.865387902,-83.655908498"
"34.946056942,-83.591171165"
"34.912220375,-83.618814852"
"34.938071614,-83.60207305"
"35.140410793,-83.570462047"
"35.16520142,-83.584713961"
"35.153976564,-83.580279618"
"35.169401168,-83.582578394"
"35.17560189,-83.582947923"
"35.175929179,-83.582889016"
"35.173761791,-83.584338806"
"35.147682638,-83.584333247"
"35.140133942,-83.571234097"
"35.120567485,-83.547205605"
"35.170021607,-83.58241481"
"35.178765855,-83.562978508"
"35.321592965,-83.587308914"
"35.283192943,-83.59209029"
"35.226466592,-83.565583094"
"35.22230977,-83.562228054"
"35.322453335,-83.586858735"
"35.276506658,-83.576927174"
"35.282110288,-83.58144815"
"35.292866631,-83.594066329"
"35.301579413,-83.591127309"
"35.304937074,-83.589258229"
"35.316782737,-83.587587557"
"35.309646055,-83.587489917"
"35.330819744,-83.591730398"
"35.097907166,-83.526724342"
"35.082443793,-83.511447446"
"35.061445049,-83.482548892"
"35.053824825,-83.477439"
"35.103912452,-83.531818542"
"35.035426882,-83.470035818"
"35.325616437,-83.680859059"
"35.328091077,-83.672632073"
"35.354657759,-83.719126741"
"35.331402175,-83.667187318"
"35.32432558,-83.684078808"
"35.665401821,-83.293392752"
"35.655753106,-83.358012965"
"35.630102516,-83.387321976"
"35.679630998,-83.273899018"
"35.610930692,-83.42481429"
"37.343286931,-80.758790537"
"37.284523002,-80.802569237"
"37.271579887,-80.834550108"
"37.270541812,-80.838424474"
"37.338103905,-80.75610536"
"37.341894116,-80.759404005"
"37.342016106,-80.759482117"
"37.341894116,-80.759404005"
"36.105113362,-82.446188392"
"36.106473789,-82.416441718"
"36.119044488,-82.323675846"
"36.143391638,-82.23321777"
"36.143502219,-82.179608234"
"36.137228353,-82.240470431"
"36.104779679,-82.129868026"
"36.117522168,-82.328798427"
"36.118634148,-82.319801364"
"36.118606791,-82.324979893"
"36.130317941,-82.281671503"
"36.156750982,-82.219654182"
"36.146798655,-82.161446033"
"36.13378897,-82.295536927"
"36.136181594,-82.242797124"
"36.143331562,-82.233260942"
"36.303849965,-82.130194738"
"36.321114027,-82.123579944"
"36.300193033,-82.128393217"
"36.30444597,-82.129652541"
"36.323800455,-82.121417878"
"36.313669012,-82.130386528"
"36.301960122,-82.127897738"
"36.304715716,-82.129653161"
"36.105312864,-82.11705998"
"36.124130791,-82.042071811"
"36.171652982,-82.011198034"
"36.106464767,-82.110228507"
"36.176631106,-82.011794744"
"36.120820966,-82.035852318"
"35.478810436,-83.809119227"
"35.483932226,-83.809426465"
"35.556267841,-83.77390706"
"35.520462901,-83.814934917"
"35.561871471,-83.743592727"
"35.460584874,-83.811125161"
"35.477632603,-83.809307492"
"35.489410935,-83.815559525"
"35.331245561,-83.591939861"
"35.33154983,-83.592144734"
"35.342153691,-83.63198493"
"35.332449903,-83.59257875"
"35.452499545,-83.807864836"
"35.425950709,-83.801080505"
"35.410801142,-83.765776075"
"35.383968955,-83.755659565"
"35.358103434,-83.717888087"
"35.435432861,-83.799075809"
"35.371391319,-83.736443269"
"37.384314905,-80.184840502"
"37.383882692,-80.165062702"
"37.365231435,-80.144073271"
"37.390419057,-80.196130534"
"37.363548766,-80.141191415"
"37.362048066,-80.172972647"
"37.373463238,-80.155059715"
"37.382869958,-80.164487924"
"37.39014989,-80.169585448"
"37.356869378,-80.140833352"
"37.371244936,-80.148010457"
"37.384721644,-80.181857748"
"35.770507711,-83.111278423"
"35.784220192,-83.113688432"
"35.927790268,-82.803126153"
"35.9464495,-82.795829643"
"35.910363037,-82.791213357"
"35.926511157,-82.802467699"
"35.933670432,-82.804398443"
"35.910330081,-82.791039922"
"36.052764754,-82.669305334"
"36.066245946,-82.6321763"
"36.039457904,-82.60177085"
"36.02013184,-82.604183974"
"36.017847653,-82.606435006"
"36.025482338,-82.600362727"
"36.031059736,-82.599009959"
"36.010567632,-82.609479744"
"36.021418494,-82.716319086"
"36.062982587,-82.643371622"
"36.041515212,-82.606871657"
"36.03439523,-82.595758863"
"36.015277113,-82.611618261"
"35.984958455,-82.606634774"
"35.966295207,-82.608552605"
"35.954943177,-82.566559942"
"35.954337205,-82.561511338"
"36.010111302,-82.608824634"
"35.978852968,-82.608942421"
"35.954366191,-82.566302205"
"35.966623553,-82.605116898"
"35.95400501,-82.562751555"
"40.373738665,-77.044950613"
"40.359416477,-77.07905781"
"40.32206764,-77.077466287"
"40.380646017,-77.036101612"
"40.334887606,-77.089686428"
"40.325614631,-77.076667498"
"40.391389255,-77.031032503"
"40.381283648,-77.029207297"
"40.861509877,-75.292347709"
"40.930180255,-75.212424786"
"40.930180255,-75.212424786"
"40.935052258,-75.201238187"
"40.861343342,-75.294568135"
"40.935708012,-75.199706544"
"40.936027598,-75.197977936"
"40.919709914,-75.225462854"
"40.889467378,-75.265621011"
"40.875152836,-75.271455402"
"40.863724229,-75.286137193"
"40.861725741,-75.291814949"
"40.860585226,-75.292759615"
"40.92837059,-75.218709672"
"40.930913247,-75.210867293"
"40.93261584,-75.208778632"
"40.935355543,-75.200686725"
"40.828802746,-75.40119929"
"40.827735772,-75.406943282"
"40.828881932,-75.397257767"
"40.831748454,-75.375810641"
"40.836955996,-75.364805028"
"40.838924913,-75.362112887"
"40.843271172,-75.357006849"
"40.843262686,-75.356654107"
"40.845118409,-75.339799206"
"40.857813038,-75.30926787"
"40.856040959,-75.31887734"
"40.851598897,-75.328367169"
"40.846692703,-75.337366866"
"40.845118409,-75.339799206"
"40.833951201,-75.370202217"
"40.833951201,-75.370202217"
"40.832107711,-75.375279199"
"40.831748454,-75.375810641"
"40.827980369,-75.392557352"
"40.825631971,-75.414265896"
"40.828681855,-75.393864433"
"40.86134479,-75.294695933"
"40.861358409,-75.29459326"
"40.675880922,-75.895455265"
"40.694261523,-75.84169263"
"40.697463947,-75.833390546"
"40.683320385,-75.877174502"
"40.692634106,-75.845278584"
"40.643980211,-75.956378456"
"40.651936451,-75.954444042"
"40.705437671,-75.812379777"
"40.675865185,-75.892263201"
"40.695114766,-75.839504076"
"40.694060878,-75.842299339"
"40.705415425,-75.812328798"
"40.633751427,-75.960772563"
"40.647973274,-75.95470261"
"40.65656011,-75.955214135"
"36.205991434,-81.989132767"
"36.190165608,-82.010820394"
"36.205926605,-81.995663787"
"36.207086228,-81.991659988"
"36.198026005,-82.002461483"
"36.187028189,-82.011793226"
"36.17746855,-82.011525561"
"36.183539008,-82.009163482"
"36.192473095,-82.006279806"
"36.279552039,-82.138870522"
"36.282997912,-82.140952199"
"36.269974064,-82.1305784"
"36.265732453,-82.123711285"
"36.28162572,-82.141934748"
"36.283967321,-82.137681648"
"36.281079019,-82.137528238"
"36.27303549,-82.132086918"
"36.270493944,-82.129931334"
"36.264219802,-82.123112697"
"36.281476477,-82.143233937"
"36.283120265,-82.139034352"
"36.285182507,-82.136510735"
"36.297484895,-82.127189751"
"36.284100508,-82.132482419"
"36.420768161,-82.005577879"
"36.390560055,-82.03206454"
"36.386790388,-82.035416851"
"36.36025259,-82.06638128"
"36.352714655,-82.075102462"
"36.3333317,-82.10032863"
"36.467743813,-81.955612724"
"36.331330084,-82.104865304"
"36.376602074,-82.047645799"
"36.329271446,-82.112085027"
"36.33018298,-82.107254911"
"36.645970425,-81.735934655"
"36.644256798,-81.700808883"
"36.65423496,-81.685466876"
"36.645761994,-81.735897859"
"36.652891068,-81.686961293"
"36.654467798,-81.67867321"
"36.628385412,-81.776571654"
"36.646492039,-81.739477731"
"36.634958499,-81.789101506"
"36.648608367,-81.672308752"
"36.639194379,-81.648630136"
"36.639966144,-81.648763828"
"36.646885775,-81.672172833"
"36.636689812,-81.646668889"
"36.642377659,-81.5159166"
"36.639152064,-81.509358315"
"36.646298757,-81.583384087"
"36.656213027,-81.571737268"
"36.645233654,-81.506174904"
"36.654412677,-81.493490597"
"36.650446801,-81.489123694"
"36.65165886,-81.491697988"
"36.653825587,-81.499289297"
"36.69520275,-81.506366712"
"36.6431769,-81.500664149"
"36.643095266,-81.499974805"
"36.651626439,-81.480350019"
"36.671516582,-81.488070541"
"36.648991859,-81.503002607"
"36.689142475,-81.509579641"
"37.598544149,-79.39030281"
"37.599685894,-79.391235666"
"37.618040864,-79.395160936"
"37.614957866,-79.393300295"
"37.596727984,-79.389872022"
"37.596618414,-79.391017199"
"37.597086284,-79.38989835"
"37.59939354,-79.390812188"
"37.603529034,-79.390833389"
"37.616976705,-79.394574906"
"37.605117083,-79.386223198"
"37.675163659,-79.334662259"
"37.658247565,-79.349559373"
"37.646551972,-79.367601984"
"37.618970788,-79.395155932"
"37.604495566,-79.387670411"
"37.604244753,-79.389790992"
